id,CODE_size_Manuf,id_TYPE_GEAR ,id_STEPS_GEAR ,id_List_Aval_mount,Id_Type_items,id_size_gearbox,id_list_aval_shaft,id_List_avalible_direction_shaft
10,C103,20,10,30,10,3,20,30
12,C104,20,10,30,10,4,20,30
14,C106,20,10,30,10,6,20,30
16,C107,20,10,30,10,7,20,30
18,C108,20,10,30,10,8,20,30
20,C109,20,10,30,10,9,20,30
22,C110,20,10,30,10,10,20,30
24,C300,20,30,30,10,0,20,30
26,C301,20,30,30,10,1,20,30
28,C303,20,30,30,10,3,20,30
30,C304,20,30,30,10,4,20,30
32,C305,20,30,30,10,5,20,30
34,C306,20,30,30,10,6,20,30
36,C307,20,30,30,10,7,20,30
38,C308,20,30,30,10,8,20,30
40,C309,20,30,30,10,9,20,30
42,C310,20,30,30,10,10,20,30
44,C312,20,30,30,10,12,20,30
46,C313,20,30,30,10,13,20,30
48,C314,20,30,30,10,14,20,30
50,C316,20,30,30,10,16,20,30
52,C200,20,20,30,10,0,20,30
54,C201,20,20,30,10,1,20,30
56,C203,20,20,30,10,3,20,30
58,C204,20,20,30,10,4,20,30
60,C205,20,20,30,10,5,20,30
62,C206,20,20,30,10,6,20,30
64,C207,20,20,30,10,7,20,30
66,C208,20,20,30,10,8,20,30
68,C209,20,20,30,10,9,20,30
70,C210,20,20,30,10,10,20,30
72,C212,20,20,30,10,12,20,30
74,C213,20,20,30,10,13,20,30
76,C214,20,20,30,10,14,20,30
78,C216,20,20,30,10,16,20,30
80,C203C201,20,40,30,10,3,20,30
82,C203C301,20,50,30,10,3,20,30
84,C303C201,20,50,30,10,3,20,30
86,C303C301,20,60,30,10,3,20,30
88,C204C203,20,40,30,10,4,20,30
90,C204C303,20,50,30,10,4,20,30
92,C304C203,20,50,30,10,4,20,30
94,C304C303,20,60,30,10,4,20,30
96,C205C203,20,40,30,10,5,20,30
98,C205C303,20,50,30,10,5,20,30
100,C305C203,20,50,30,10,5,20,30
102,C305C303,20,60,30,10,5,20,30
104,C206C203,20,40,30,10,6,20,30
106,C206C303,20,50,30,10,6,20,30
108,C306C203,20,50,30,10,6,20,30
110,C306C303,20,60,30,10,6,20,30
112,C307C203,20,50,30,10,7,20,30
114,C307C303,20,60,30,10,7,20,30
116,C208C205,20,40,30,10,8,20,30
118,C308C205,20,50,30,10,8,20,30
120,C308C305,20,60,30,10,8,20,30
122,C209C205,20,40,30,10,9,20,30
124,C309C205,20,50,30,10,9,20,30
126,C309C305,20,60,30,10,9,20,30
128,C210C207,20,40,30,10,10,20,30
130,C210C307,20,50,30,10,10,20,30
132,C310C207,20,50,30,10,10,20,30
134,C310C307,20,60,30,10,10,20,30
136,C213C207,20,40,30,10,13,20,30
138,C213C307,20,50,30,10,13,20,30
140,C313C207,20,50,30,10,13,20,30
142,C313C307,20,60,30,10,13,20,30
144,C214C208,20,40,30,10,14,20,30
146,C314C207,20,50,30,10,14,20,30
148,C314C307,20,60,30,10,14,20,30
150,C216C210,20,40,30,10,16,20,30
152,C316C209,20,50,30,10,16,20,30
154,C316C309,20,60,30,10,16,20,30
156,F302,40,30,10,10,2,10,20
158,F303,40,30,10,10,3,10,20
160,F304,40,30,10,10,4,10,20
162,F305,40,30,10,10,5,10,20
164,F306,40,30,10,10,6,10,20
166,F307,40,30,10,10,7,10,20
168,F308,40,30,10,10,8,10,20
170,F309,40,30,10,10,9,10,20
172,F310,40,30,10,10,10,10,20
174,F312,40,30,10,10,12,10,20
176,F315,40,30,10,10,15,10,20
178,F202,40,20,10,10,2,10,20
180,F203,40,20,10,10,3,10,20
182,F204,40,20,10,10,4,10,20
184,F205,40,20,10,10,5,10,20
186,F206,40,20,10,10,6,10,20
188,F207,40,20,10,10,7,10,20
190,F208,40,20,10,10,8,10,20
192,F209,40,20,10,10,9,10,20
194,F210,40,20,10,10,10,10,20
196,F212,40,20,10,10,12,10,20
198,F215,40,20,10,10,15,10,20
200,F302C201,40,50,10,10,2,10,20
202,F302C301,40,60,10,10,2,10,20
204,F203C201,40,40,10,10,2,10,20
206,F303C201,40,50,10,10,3,10,20
208,F303C301,40,60,10,10,3,10,20
210,F204C203,40,40,10,10,4,10,20
212,F304C203,40,50,10,10,4,10,20
214,F304C303,40,60,10,10,4,10,20
216,F205C203,40,40,10,10,5,10,20
218,F305C203,40,50,10,10,5,10,20
220,F305C303,40,60,10,10,5,10,20
222,F306C203,40,50,10,10,6,10,20
224,F306C303,40,60,10,10,6,10,20
226,F207C203,40,40,10,10,7,10,20
228,F307C203,40,50,10,10,7,10,20
230,F307C303,40,60,10,10,7,10,20
232,F208C205,40,40,10,10,8,10,20
234,F308C205,40,50,10,10,8,10,20
236,F308C305,40,60,10,10,8,10,20
238,F209C205,40,40,10,10,9,10,20
240,F309C205,40,50,10,10,9,10,20
242,F309C305,40,60,10,10,9,10,20
244,F210C207,40,40,10,10,10,10,20
246,F310C207,40,50,10,10,10,10,20
248,F310C307,40,60,10,10,10,10,20
250,F212C208,40,40,10,10,12,10,20
252,F312C207,40,50,10,10,12,10,20
254,F312C307,40,60,10,10,12,10,20
256,F215C209,40,40,10,10,15,10,20
258,F315C209,40,50,10,10,15,10,20
260,F315C309,40,60,10,10,15,10,20
262,K303,10,30,10,10,3,10,10
264,K304,10,30,10,10,4,10,10
266,K305,10,30,10,10,5,10,10
268,K306,10,30,10,10,6,10,10
270,K307,10,30,10,10,7,10,10
272,K308,10,30,10,10,8,10,10
274,K309,10,30,10,10,9,10,10
276,K310,10,30,10,10,10,10,10
278,K312,10,30,10,10,12,10,10
280,K315,10,30,10,10,15,10,10
282,K316,10,30,20,10,16,10,10
284,K318,10,30,20,10,18,10,10
286,K303C201,10,50,10,10,3,10,10
288,K303C301,10,60,10,10,3,10,10
290,K304C203,10,50,10,10,4,10,10
292,K304C303,10,60,10,10,4,10,10
294,K305C203,10,50,10,10,5,10,10
296,K305C303,10,60,10,10,5,10,10
298,K306C203,10,50,10,10,6,10,10
300,K306C303,10,60,10,10,7,10,10
302,K307C203,10,50,10,10,7,10,10
304,K307C303,10,60,10,10,7,10,10
306,K308C205,10,50,10,10,8,10,10
308,K308C305,10,60,10,10,8,10,10
310,K309C205,10,50,10,10,9,10,10
312,K309C305,10,60,10,10,9,10,10
314,K310C207,10,50,10,10,10,10,10
316,K310C307,10,60,10,10,10,10,10
318,K312C207,10,50,10,10,12,10,10
320,K312C208,10,50,10,10,12,10,10
