id,gear_type_id,mount_type_id,gearbox_size_id,flange_name
171,20,20,3,F130
172,20,20,4,F165
173,20,20,5,F165
174,20,20,6,F215
175,20,20,7,F265
176,20,20,8,F265
177,20,20,9,F400
178,20,20,10,F400
179,20,20,12,F500
180,20,20,13,F500
181,20,20,14,F500
182,20,20,16,F600
183,10,20,3,F130
184,10,20,4,F165
185,10,20,5,F215
186,10,20,6,F215
187,10,20,7,F265
188,10,20,8,F300
189,10,20,9,F400
190,10,20,10,F400
191,10,20,12,F500
192,10,20,15,F600
193,10,20,16,F740
194,10,20,18,F840
195,40,20,2,F130
196,40,20,3,F130
197,40,20,4,F165
198,40,20,5,F215
199,40,20,6,F215
200,40,20,7,F265
201,40,20,8,F300
202,40,20,9,F400
203,40,20,10,F400
204,40,20,12,F500
205,40,20,15,F600
206,30,20,3,F130
207,30,20,4,F165
208,30,20,5,F165
209,30,20,6,F215
210,30,20,7,F265
211,30,20,8,F300
212,30,20,9,F400
213,30,20,10,F400
214,30,20,12,F500
215,20,30,3,F100
216,20,30,4,F130
217,20,30,5,F130
218,20,30,6,F165
219,20,30,7,F215
220,20,30,8,F265
221,20,30,9,F300
222,20,30,10,F300
223,20,30,12,F400
224,20,30,13,F400
225,20,30,14,F400
226,10,30,3,F95
227,10,30,4,F115
228,10,30,5,F130
229,10,30,6,F130
230,10,30,7,F165
231,10,30,8,F215
232,10,30,9,F215
233,10,30,10,F265
234,10,30,12,F300
235,10,30,15,F350
236,40,30,3,F95
237,40,30,4,F115
238,40,30,5,F130
239,40,30,6,F130
240,40,30,7,F165
241,40,30,8,F215
242,40,30,9,F215
243,40,30,10,F265
244,40,30,12,F300
245,40,30,15,F350
246,30,30,3,F115
247,30,30,4,F115
248,30,30,5,F115
249,30,30,6,F130
250,30,30,7,F165
251,30,30,8,F215
252,30,30,9,F215
253,30,30,10,F265
254,30,30,12,F300
255,40,30,2,F85
