id,shaft_type_id,gear_type_id,gearbox_size_id,output_shaft_size
0,10,20,3,3
10,10,20,4,4
20,10,20,6,6
30,10,20,7,7
40,10,20,8,8
50,10,20,9,9
60,10,20,10,10
70,10,20,0,0
80,10,20,1,1
90,10,20,3,3
100,10,20,4,4
110,10,20,5,5
120,10,20,6,6
130,10,20,7,7
140,10,20,8,8
150,10,20,9,9
160,10,20,10,10
170,10,20,12,12
180,10,20,13,13
190,10,20,14,14
200,10,20,16,16
210,10,10,3,3
220,10,10,4,4
230,10,10,5,5
500,10,10,6,6
510,10,10,7,7
520,10,10,8,8
530,10,10,9,9
540,10,10,10,10
550,10,10,12,12
560,10,10,15,15
570,10,10,16,16
580,10,10,18,18
590,10,40,3,3
600,10,40,4,4
610,10,40,5,5
620,10,40,6,6
630,10,40,7,7
640,10,40,8,8
650,10,40,9,9
660,10,40,10,10
670,10,40,12,12
680,10,40,15,15
690,10,40,16,16
700,10,40,18,18
710,10,30,3,3
720,10,30,4,4
730,10,30,5,5
1000,10,30,6,6
1010,10,30,7,7
1020,10,30,8,8
1030,10,30,9,9
1040,10,30,10,10
1050,10,30,12,12
1060,10,30,15,15
1070,10,30,16,16
1080,10,30,18,18
1090,20,10,3,3
1100,20,10,4,4
1110,20,10,5,5
1120,20,10,6,6
1130,20,10,7,7
1140,20,10,8,8
1150,20,10,9,9
1160,20,10,10,10
2000,20,10,12,12
2010,20,10,15,15
2020,20,10,16,16
2030,20,10,18,18
2040,20,40,3,3
2050,20,40,4,4
2060,20,40,5,5
2070,20,40,6,6
2080,20,40,7,7
2090,20,40,8,8
2100,20,40,9,9
2110,20,40,10,10
2120,20,40,12,12
2130,20,40,15,15
2140,20,40,16,16
2150,20,40,18,18
2160,20,30,3,3
2170,20,30,4,4
2180,20,30,5,5
2190,20,30,6,6
2200,20,30,7,7
2210,20,30,8,8
2220,20,30,9,9
2230,20,30,10,10
2240,20,30,12,12
2250,20,30,15,15
2260,20,30,16,16
2270,20,30,18,18
2280,30,10,3,3
2290,30,10,4,4
2300,30,10,5,5
2310,30,10,6,6
2320,30,10,7,7
2330,30,10,8,8
2340,30,10,9,9
2350,30,10,10,10
2360,30,10,12,12
2370,30,10,15,15
2380,30,10,16,16
2390,30,10,18,18
2400,30,40,3,3
2410,30,40,4,4
2420,30,40,5,5
2430,30,40,6,6
2440,30,40,7,7
2450,30,40,8,8
2460,30,40,9,9
2470,30,40,10,10
2480,30,40,12,12
2490,30,40,15,15
2500,30,40,16,16
2510,30,40,18,18
2520,30,30,3,s3-4
2530,30,30,4,s3-4
2540,30,30,5,5
2550,30,30,6,6
2560,30,30,7,7
2570,30,30,8,s8
2580,30,30,9,s9
2590,30,30,10,s10
2600,30,30,12,s12
2610,30,30,15,15
2620,30,30,16,16
2630,30,30,18,18
2640,30,10,3,3
2650,30,10,4,4
2660,30,10,5,5
2670,30,10,6,6
2680,30,10,7,7
2690,30,10,8,8
2700,30,10,9,9
2710,30,10,10,10
2720,30,10,12,12
2730,30,10,15,15
2740,30,10,16,16
2750,30,10,18,18
2760,30,40,3,3
2770,30,40,4,4
2780,30,40,5,5
2790,30,40,6,6
2800,30,40,7,7
2810,30,40,8,8
2820,30,40,9,9
2830,30,40,10,10
2840,30,40,12,12
2850,30,40,15,15
2860,30,40,16,16
2870,30,40,18,18
2880,30,30,3,s3-4
2890,30,30,4,s3-4
2900,30,30,5,5
2910,30,30,6,6
2920,30,30,7,7
2930,30,30,8,s8
2940,30,30,9,s9
2950,30,30,10,s10
2960,30,30,12,s12
2970,30,30,15,15
2980,30,30,16,16
2990,30,30,18,18
