id,gear_size_list_id,gear_type_id,color_option_name,gear_option_name,item_name,oil_option_name
3979,3,10,0,FR10,SD3_Z_FR10,0
3980,4,10,0,FR10,SD4_Z_FR10,0
3981,5,10,0,FR10,SD5_Z_FR10,0
3982,6,10,0,FR10,SD6_Z_FR10,0
3983,7,10,0,FR10,SD7_Z_FR10,0
3984,8,10,0,FR10,SD8_Z_FR10,0
3985,9,10,0,FR10,SD9_Z_FR10,0
3986,10,10,0,FR10,SD10_Z_FR10,0
3987,12,10,0,FR10,SD12_Z_FR10,0
3988,15,10,0,FR10,SD15_Z_FR10,0
3989,3,30,0,FR10,SD3_Z_FR10,0
3990,4,30,0,FR10,SD4_Z_FR10,0
3991,5,30,0,FR10,SD5_Z_FR10,0
3992,6,30,0,FR10,SD6_Z_FR10,0
3993,7,30,0,FR10,SD7_Z_FR10,0
3994,8,30,0,FR10,SD8_Z_FR10,0
3995,9,30,0,FR10,SD9_Z_FR10,0
3996,10,30,0,FR10,SD10_Z_FR10,0
3997,12,30,0,FR10,SD12_Z_FR10,0
3998,15,30,0,FR10,SD15_Z_FR10,0
3999,3,40,0,FR10,SD3_Z_FR10,0
4000,4,40,0,FR10,SD4_Z_FR10,0
4001,5,40,0,FR10,SD5_Z_FR10,0
4002,6,40,0,FR10,SD6_Z_FR10,0
4003,7,40,0,FR10,SD7_Z_FR10,0
4004,8,40,0,FR10,SD8_Z_FR10,0
4005,9,40,0,FR10,SD9_Z_FR10,0
4006,10,40,0,FR10,SD10_Z_FR10,0
4007,12,40,0,FR10,SD12_Z_FR10,0
4008,15,40,0,FR10,SD15_Z_FR10,0
4009,3,10,0,FR20,VT3_Z_FR20,0
4010,4,10,0,FR20,VT4_Z_FR20,0
4011,5,10,0,FR20,VT5_Z_FR20,0
4012,6,10,0,FR20,VT6_Z_FR20,0
4013,7,10,0,FR20,VT7_Z_FR20,0
4014,8,10,0,FR20,VT8_Z_FR20,0
4015,9,10,0,FR20,VT9_Z_FR20,0
4016,10,10,0,FR20,VT10_Z_FR20,0
4017,12,10,0,FR20,VT12_Z_FR20,0
4018,13,10,0,FR20,VT13_Z_FR20,0
4019,14,10,0,FR20,VT14_Z_FR20,0
4020,15,10,0,FR20,VT15_Z_FR20,0
4021,16,10,0,FR20,VT16_Z_FR20,0
4022,18,10,0,FR20,VT18_Z_FR20,0
4023,3,20,0,FR20,VT3_Z_FR20,0
4024,4,20,0,FR20,VT4_Z_FR20,0
4025,5,20,0,FR20,VT5_Z_FR20,0
4026,6,20,0,FR20,VT6_Z_FR20,0
4027,7,20,0,FR20,VT7_Z_FR20,0
4028,8,20,0,FR20,VT8_Z_FR20,0
4029,9,20,0,FR20,VT9_Z_FR20,0
4030,10,20,0,FR20,VT10_Z_FR20,0
4031,12,20,0,FR20,VT12_Z_FR20,0
4032,13,20,0,FR20,VT13_Z_FR20,0
4033,14,20,0,FR20,VT14_Z_FR20,0
4034,15,20,0,FR20,VT15_Z_FR20,0
4035,16,20,0,FR20,VT16_Z_FR20,0
4036,18,20,0,FR20,VT18_Z_FR20,0
4037,3,30,0,FR20,VT3_Z_FR20,0
4038,4,30,0,FR20,VT4_Z_FR20,0
4039,5,30,0,FR20,VT5_Z_FR20,0
4040,6,30,0,FR20,VT6_Z_FR20,0
4041,7,30,0,FR20,VT7_Z_FR20,0
4042,8,30,0,FR20,VT8_Z_FR20,0
4043,9,30,0,FR20,VT9_Z_FR20,0
4044,10,30,0,FR20,VT10_Z_FR20,0
4045,12,30,0,FR20,VT12_Z_FR20,0
4046,13,30,0,FR20,VT13_Z_FR20,0
4047,14,30,0,FR20,VT14_Z_FR20,0
4048,15,30,0,FR20,VT15_Z_FR20,0
4049,16,30,0,FR20,VT16_Z_FR20,0
4050,18,30,0,FR20,VT18_Z_FR20,0
4051,3,40,0,FR20,VT3_Z_FR20,0
4052,4,40,0,FR20,VT4_Z_FR20,0
4053,5,40,0,FR20,VT5_Z_FR20,0
4054,6,40,0,FR20,VT6_Z_FR20,0
4055,7,40,0,FR20,VT7_Z_FR20,0
4056,8,40,0,FR20,VT8_Z_FR20,0
4057,9,40,0,FR20,VT9_Z_FR20,0
4058,10,40,0,FR20,VT10_Z_FR20,0
4059,12,40,0,FR20,VT12_Z_FR20,0
4060,13,40,0,FR20,VT13_Z_FR20,0
4061,14,40,0,FR20,VT14_Z_FR20,0
4062,15,40,0,FR20,VT15_Z_FR20,0
4063,16,40,0,FR20,VT16_Z_FR20,0
4064,18,40,0,FR20,VT18_Z_FR20,0
4065,3,10,0,FR30,T3_Z_FR30,0
4066,4,10,0,FR30,T4_Z_FR30,0
4067,5,10,0,FR30,T5_Z_FR30,0
4068,6,10,0,FR30,T6_Z_FR30,0
4069,7,10,0,FR30,T7_Z_FR30,0
4070,8,10,0,FR30,T8_Z_FR30,0
4071,9,10,0,FR30,T9_Z_FR30,0
4072,10,10,0,FR30,T10_Z_FR30,0
4073,12,10,0,FR30,T12_Z_FR30,0
4074,13,10,0,FR30,T13_Z_FR30,0
4075,14,10,0,FR30,T14_Z_FR30,0
4076,15,10,0,FR30,T15_Z_FR30,0
4077,16,10,0,FR30,T16_Z_FR30,0
