id,code_ratio,ratio
4,B40,4
405,B45,4.5
5,B50,5
506,B56,5.6
6,B63,6.3
7,B71,7.1
8,B80,8
9,B90,9
10,C10,10
11,C11,11.2
12,C13,12.5
14,C14,14
16,C16,16
18,C18,18
20,C20,20
22,C22,22.4
25,C25,25
28,C28,28
31,C32,31.5
35,C36,35.5
40,C40,40
45,C45,45
50,C50,50
56,C56,56
63,C63,63
71,C71,71
80,C80,80
90,C90,90
100,D10,100
112,D11,112
125,D13,125
140,D14,140
160,D16,160
180,D18,180
250,D25,250
280,D28,280
315,D32,315
355,D36,355
400,D40,400
450,D45,450
500,D50,500
200,D20,200
224,D22,224
560,D56,560
630,D63,630
710,D71,710
800,D80,800
900,D90,900
1000,E10,1000
1120,E11,1120
1250,E13,1250
1400,E14,1400
1600,E16,1600
1800,E18,1800
2000,E20,2000
2240,E22,2240
2500,E25,2500
2800,E28,2800
3150,E32,3150
3550,E36,3550
4000,E40,4000
4500,E45,4500
5000,E50,5000
5600,E56,5600
6300,E63,6300
7100,E71,7100
8000,E80,8000
9000,E90,9000
10000,E100,10000
11200,E112,11200
12500,E125,12500
14000,E140,14000
16000,E160,16000
18000,E180,18000
301,E31,3.15
305,E35,3.55
20000,E200,20000
22000,E220,22000
24000,E240,24000
26000,E260,26000
