id,shaft_type_id,gear_type_id,gearbox_size_id,output_shaft_size
2494,10,20,3,3
2495,10,20,4,4
2496,10,20,6,6
2497,10,20,7,7
2498,10,20,8,8
2499,10,20,9,9
2500,10,20,10,10
2501,10,20,0,0
2502,10,20,1,1
2503,10,20,3,3
2504,10,20,4,4
2505,10,20,5,5
2506,10,20,6,6
2507,10,20,7,7
2508,10,20,8,8
2509,10,20,9,9
2510,10,20,10,10
2511,10,20,12,12
2512,10,20,13,13
2513,10,20,14,14
2514,10,20,16,16
2515,10,10,3,3
2516,10,10,4,4
2517,10,10,5,5
2518,10,10,6,6
2519,10,10,7,7
2520,10,10,8,8
2521,10,10,9,9
2522,10,10,10,10
2523,10,10,12,12
2524,10,10,15,15
2525,10,10,16,16
2526,10,10,18,18
2527,10,40,3,3
2528,10,40,4,4
2529,10,40,5,5
2530,10,40,6,6
2531,10,40,7,7
2532,10,40,8,8
2533,10,40,9,9
2534,10,40,10,10
2535,10,40,12,12
2536,10,40,15,15
2537,10,40,16,16
2538,10,40,18,18
2539,10,30,3,3
2540,10,30,4,4
2541,10,30,5,5
2542,10,30,6,6
2543,10,30,7,7
2544,10,30,8,8
2545,10,30,9,9
2546,10,30,10,10
2547,10,30,12,12
2548,10,30,15,15
2549,10,30,16,16
2550,10,30,18,18
2551,20,10,3,3
2552,20,10,4,4
2553,20,10,5,5
2554,20,10,6,6
2555,20,10,7,7
2556,20,10,8,8
2557,20,10,9,9
2558,20,10,10,10
2559,20,10,12,12
2560,20,10,15,15
2561,20,10,16,16
2562,20,10,18,18
2563,20,40,3,3
2564,20,40,4,4
2565,20,40,5,5
2566,20,40,6,6
2567,20,40,7,7
2568,20,40,8,8
2569,20,40,9,9
2570,20,40,10,10
2571,20,40,12,12
2572,20,40,15,15
2573,20,40,16,16
2574,20,40,18,18
2575,20,30,3,3
2576,20,30,4,4
2577,20,30,5,5
2578,20,30,6,6
2579,20,30,7,7
2580,20,30,8,8
2581,20,30,9,9
2582,20,30,10,10
2583,20,30,12,12
2584,20,30,15,15
2585,20,30,16,16
2586,20,30,18,18
2587,30,10,3,3
2588,30,10,4,4
2589,30,10,5,5
2590,30,10,6,6
2591,30,10,7,7
2592,30,10,8,8
2593,30,10,9,9
2594,30,10,10,10
2595,30,10,12,12
2596,30,10,15,15
2597,30,10,16,16
2598,30,10,18,18
2599,30,40,3,3
2600,30,40,4,4
2601,30,40,5,5
2602,30,40,6,6
2603,30,40,7,7
2604,30,40,8,8
2605,30,40,9,9
2606,30,40,10,10
2607,30,40,12,12
2608,30,40,15,15
2609,30,40,16,16
2610,30,40,18,18
2611,30,30,3,s3-4
2612,30,30,4,s3-4
2613,30,30,5,5
2614,30,30,6,6
2615,30,30,7,7
2616,30,30,8,s8
2617,30,30,9,s9
2618,30,30,10,s10
2619,30,30,12,s12
2620,30,30,15,15
2621,30,30,16,16
2622,30,30,18,18
2623,30,10,3,3
2624,30,10,4,4
2625,30,10,5,5
2626,30,10,6,6
2627,30,10,7,7
2628,30,10,8,8
2629,30,10,9,9
2630,30,10,10,10
2631,30,10,12,12
2632,30,10,15,15
2633,30,10,16,16
2634,30,10,18,18
2635,30,40,3,3
2636,30,40,4,4
2637,30,40,5,5
2638,30,40,6,6
2639,30,40,7,7
2640,30,40,8,8
2641,30,40,9,9
2642,30,40,10,10
2643,30,40,12,12
2644,30,40,15,15
2645,30,40,16,16
2646,30,40,18,18
2647,30,30,3,s3-4
2648,30,30,4,s3-4
2649,30,30,5,5
2650,30,30,6,6
2651,30,30,7,7
2652,30,30,8,s8
2653,30,30,9,s9
2654,30,30,10,s10
2655,30,30,12,s12
2656,30,30,15,15
2657,30,30,16,16
2658,30,30,18,18
